event_description,event_local,event_productor,other_informations_productor,event_name,event_date,payment,link
"<p id=""org-description"">A UNACCAM (União e Apoio no Combate ao Câncer de Mama) tem como missão Capacitar voluntários tornando-os multiplicadores de informações em saúde mamária e prestar apoio aos pacientes com câncer de mama e seus familiares.</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>ALESP - Assembleia Legislativa de São Paulo</strong><br> Avenida Pedro Álvares Cabral, 201, Parque Ibirapuera<br>São Paulo, SP                </p>"," Avenida Pedro Álvares Cabral, 201, Parque Ibirapuera",UNACCAM,,MAMOGRAFIA PARA TODAS  ," 
                                    19 de outubro de 2016, 00h  - 03 de julho de 2017, 23h                                ","R$ 0,00,GRATUITA,Vendas até 03/07/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/mamografia-para-todas__96728
"<p id=""org-description"">Contato direto do organizador via whatsApp 1198124-9543</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Toca do Tuim</strong><br> Estrada Ferreira Guedes , 2000<br>São Paulo, SP                </p>"," Estrada Ferreira Guedes , 2000",Jah Araujo,,"Nata Forrozeira 2017, edição EXCELÊNCIA    "," 
                                    21 de abril de 2017, 07h  - 23 de abril de 2017, 16h                                ","R$ 0,00,Ingresso primeiro lote.,R$ 260,00,Vendas até 10/10/2016,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/nata-forrozeira-2017-edicao-excelencia__82533
"<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>La Residence Hotel Paulista</strong><br> Alameda Jau, 1606, Auditorio, Jardim Paulista<br>São Paulo, SP                </p>"," Alameda Jau, 1606, Auditorio, Jardim Paulista",Ponciano Eventos,,The Magic in Business 2º Edição  ," 
                                    11 de fevereiro de 2017, 10h-17h                                ","R$ 0,00,Ingresso único,R$ 150,00,Vendas até 10/12/2016,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/the-magic-in-business-2-edicao__96557
"<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; font-weight: 900;"">Objetivo</span></p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">O curso apresenta os principais conceitos e ferramentas do Branding, ampliando todo o processo de comunicação nas organizações, entendendo o processo de MVV (missão, visão e valores), posicionamento estratégico de marca nos ambientes digitais, e estratégia de conteúdo alinhada ao propósito de marca. O objetivo é apresentar uma visão global de Branding Digital e as oportunidades a partir do conteúdo nos canais digitais.</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; font-weight: 900;"">Público-alvo</span></p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">Publicitários, jornalistas, relações públicas, profissionais de marketing, administradores e empreendedores.</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; font-weight: 900;"">Programa</span></p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; font-weight: 900;"">Dia 1</span></p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Entendendo o propósito de Missão, Visão e Valores;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Como um DNA bem estabelecido pode contribuir para um crescimento sustentável.</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– O que é Branding?</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Brand Equity e posicionamento de marca;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Gestão da Identidade de marca;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Arquitetura e Hierarquia de marca;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Disseminação em projetos de marca;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Branding Digital;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Cases.</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; font-weight: 900;"">Dia 2</span></p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Propósito, tipos e formatos de conteúdos digitais;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Planejamento de conteúdo digital alinhado ao propósito de marca;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Cases de sucesso;</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">– Planejamento de Branding e Estratégia de conteúdo Digital a partir de análise de cases.</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">Branding Digital e Estratégia de Conteúdo</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; font-weight: 900;"">Facilitador | Lucas Lima</span></p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">Comunicólogo de mercado pela UMESP, especialista em Comunicação Organizacional e Relações Públicas pela Faculdade de Comunicação Cásper Líbero e especialista em Gestão de Marcas e Branding pela Business School São Paulo. Experiência em comunicação corporativa,  branding, e marketing digital, com passagem em grandes empresas do mercado e co-fundador da midiaria.com.</p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; font-weight: 900;"">Informações Adicionais</span></p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; font-weight: 900;"">Investimento</span></p>,<p style=""box-sizing: border-box; margin: 0px 0px 16px; color: rgb(153, 153, 153); font-family: Lato, sans-serif; font-size: 20px; background-color: rgb(255, 255, 255);"">À vista: <del style=""box-sizing: border-box;"">R$ 400,00</del> <span style=""box-sizing: border-box; color: rgb(255, 0, 0);""><span style=""box-sizing: border-box; font-weight: 900;"">R$ 200 (valor promocional)</span></span> – cartões de débito e crédito. Parcelamento disponível.</p>,<p id=""org-description"">A midiaria.com é uma agência que desde 2011 auxilia organizações e empresas a enfrentarem seus desafios de comunicação com inteligência por meio de ações de branding, marketing e comportamento digital.<br>
<br>
É formada por um time multidisciplinar. São jornalistas, publicitários, designers, webmasters, relações públicas e profissionais multimídia apaixonados por comunicação e unidos por um único objetivo: levar a prosperidade para cada projeto de seus clientes parceiros.</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>midiaria.com Comunicação Digital </strong><br> Rua Mourato Coelho , 798, sala 11, Pinheiros<br>São Paulo, SP                </p>"," Rua Mourato Coelho , 798, sala 11, Pinheiros",midiaria.com ,,Branding Digital e Estratégia de Conteúdo   ," 
                                    16 de janeiro de 2017, 19h  - 18 de janeiro de 2017, 22h                                ","R$ 0,00,Inscrição,R$ 200,00,Vendas até às 18h,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/branding-digital-e-estrategia-de-conteudo__103509
"<p style=""margin-top:-45px; padding-bottom:10px; text-align: right;""> 
    <span style=""box-sizing: border-box; padding:5px 10px 5px 10px; background-color:#00AAE5!important; color:#fff; line-height: normal; text-align: right; font-family: 'open sans', sans-serif; font-size: 18px;"">
        Vale: 1,5 PDUs
    </span>
</p>,<p style=""line-height: 1.4!important;"">
        <!-- Colocar mini-curriculum do palestrante-->
        </p>,<p></p>,<p id=""org-description"" class=""text-center-xs text-left-md"">Competências Técnicas de Gerenciamento de Projetos: Reforce suas habilidades em ferramentas, métodos ágeis, projetos, programas, portfólio, governança e outros.</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Projectlab SP</strong><br> Rua Cincinato Braga , 59, Térreo, Gr. TA-2, Bela Vista<br>São Paulo, SP                </p>"," Rua Cincinato Braga , 59, Térreo, Gr. TA-2, Bela Vista",Cubo do Conhecimento,"Competências Técnicas de Gerenciamento de Projetos: Reforce suas habilidades em ferramentas, métodos ágeis, projetos, programas, portfólio, governança e outros.","Palestra ""Como a metodologia Lean Seis Sigma se relaciona com o guia PMBOK""  "," 
                                    07 de fevereiro de 2017, 19h-20h30                                ","R$ 0,00,Assinante do Cubo do Conhecimento,Inscrições até 07/02/2017,0,Não assinante,R$ 69,00,Inscrições até 07/02/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/palestra-como-a-metodologia-lean-seis-sigma-se-relaciona-com-o-guia-pmbok__104272
"<p class=""MsoNormal""><b style=""text-align: center; font-size: 10pt;""><i><span style=""color:#C00000"">CURSO: </span></i></b><b style=""text-align: center; font-size: 10pt;""><i><span style=""font-size:16.0pt"">Fale
“poderosamente” e faça a diferença</span></i></b></p>,<p class=""MsoNormal""><b><span style=""color:#C00000""><br></span></b></p>,<p class=""MsoNormal""><b><span style=""color:#C00000"">Objetivo: </span></b><span style='mso-bidi-font-size:
12.0pt;font-family:""Calibri"",""sans-serif""'>Fornecer aos participantes as
técnicas de apresentações e de comunicação que contribuem para uma apresentação
em público. Promover a vivência em apresentações</span><span style='font-size:
14.0pt;font-family:""Calibri"",""sans-serif""'>.</span><b><span style=""font-size:14.0pt""><p></p></span></b></p>,<p></p>,<p class=""MsoNormal""><span style=""font-size:14.0pt""> </span></p>,<p class=""MsoNormal""><b><span style=""color:#C00000"">Conteúdo</span><p></p></b></p>,<p></p>,<p class=""MsoNormal"" style=""margin-left:14.2pt;text-align:justify;text-indent:
-14.2pt;line-height:115%;mso-list:l0 level1 lfo1""><!--[if !supportLists]--><span style=""mso-bidi-font-size:12.0pt;line-height:115%;font-family:Symbol;
mso-fareast-font-family:Symbol;mso-bidi-font-family:Symbol;mso-bidi-font-weight:
bold;mso-bidi-font-style:italic"">·<span style='font-variant-numeric: normal; font-stretch: normal; font-size: 7pt; line-height: normal; font-family: ""Times New Roman"";'>      </span></span><!--[endif]--><span style='mso-bidi-font-size:12.0pt;line-height:115%;font-family:""Calibri"",""sans-serif""'>Autoconhecimento:
identificação do próprio perfil de comunicação.<p></p></span></p>,<p></p>,<p class=""MsoNormal"" style=""margin-left:14.2pt;text-align:justify;text-indent:
-14.2pt;line-height:115%;mso-list:l0 level1 lfo1""><!--[if !supportLists]--><span style=""mso-bidi-font-size:12.0pt;line-height:115%;font-family:Symbol;
mso-fareast-font-family:Symbol;mso-bidi-font-family:Symbol"">·<span style='font-variant-numeric: normal; font-stretch: normal; font-size: 7pt; line-height: normal; font-family: ""Times New Roman"";'>     
</span></span><!--[endif]--><span style='mso-bidi-font-size:12.0pt;
line-height:115%;font-family:""Calibri"",""sans-serif"";mso-bidi-font-weight:bold;
mso-bidi-font-style:italic'>Planejamento das apresentações.</span><span style='mso-bidi-font-size:12.0pt;line-height:115%;font-family:""Calibri"",""sans-serif""'><p></p></span></p>,<p></p>,<p class=""MsoNormal"" style=""margin-left:14.2pt;text-align:justify;text-indent:
-14.2pt;line-height:115%;mso-list:l0 level1 lfo1""><!--[if !supportLists]--><span style=""mso-bidi-font-size:12.0pt;line-height:115%;font-family:Symbol;
mso-fareast-font-family:Symbol;mso-bidi-font-family:Symbol"">·<span style='font-variant-numeric: normal; font-stretch: normal; font-size: 7pt; line-height: normal; font-family: ""Times New Roman"";'>     
</span></span><!--[endif]--><span style='mso-bidi-font-size:12.0pt;
line-height:115%;font-family:""Calibri"",""sans-serif"";mso-bidi-font-weight:bold;
mso-bidi-font-style:italic'>Estratégias para uma Comunicação Eficaz.</span><span style='mso-bidi-font-size:12.0pt;line-height:115%;font-family:""Calibri"",""sans-serif""'><p></p></span></p>,<p></p>,<p class=""MsoNormal"" style=""margin-left:14.2pt;text-align:justify;text-indent:
-14.2pt;line-height:115%;mso-list:l0 level1 lfo1""><!--[if !supportLists]--><span style=""mso-bidi-font-size:12.0pt;line-height:115%;font-family:Symbol;
mso-fareast-font-family:Symbol;mso-bidi-font-family:Symbol"">·<span style='font-variant-numeric: normal; font-stretch: normal; font-size: 7pt; line-height: normal; font-family: ""Times New Roman"";'>     
</span></span><!--[endif]--><span style='mso-bidi-font-size:12.0pt;
line-height:115%;font-family:""Calibri"",""sans-serif"";mso-bidi-font-weight:bold;
mso-bidi-font-style:italic'>Feedback.</span><span style='mso-bidi-font-size:
12.0pt;line-height:115%;font-family:""Calibri"",""sans-serif""'><p></p></span></p>,<p></p>,<p class=""MsoNormal"" style=""margin-left:14.2pt;text-align:justify;text-indent:
-14.2pt;line-height:115%;mso-list:l0 level1 lfo1""><!--[if !supportLists]--><span style=""mso-bidi-font-size:12.0pt;line-height:115%;font-family:Symbol;
mso-fareast-font-family:Symbol;mso-bidi-font-family:Symbol"">·<span style='font-variant-numeric: normal; font-stretch: normal; font-size: 7pt; line-height: normal; font-family: ""Times New Roman"";'>     
</span></span><!--[endif]--><span style='mso-bidi-font-size:12.0pt;
line-height:115%;font-family:""Calibri"",""sans-serif"";mso-bidi-font-weight:bold;
mso-bidi-font-style:italic'>Dicas para o alcance da Comunicação Assertiva.</span><span style='mso-bidi-font-size:12.0pt;line-height:115%;font-family:""Calibri"",""sans-serif""'><p></p></span></p>,<p></p>,<p class=""MsoNormal"" style=""margin-left:14.2pt;text-align:justify;text-indent:
-14.2pt;line-height:115%;mso-list:l0 level1 lfo1""><!--[if !supportLists]--><span style=""mso-bidi-font-size:12.0pt;line-height:115%;font-family:Symbol;
mso-fareast-font-family:Symbol;mso-bidi-font-family:Symbol"">·<span style='font-variant-numeric: normal; font-stretch: normal; font-size: 7pt; line-height: normal; font-family: ""Times New Roman"";'>  </span></span><span style='mso-bidi-font-size:12.0pt;
line-height:115%;font-family:""Calibri"",""sans-serif""'>Atividades práticas de
comunicação: 1.Preparar sua apresentação;2. Selecionar os recursos
audiovisuais; 3.Realizar a apresentação; 4.Envolver e estimular a audiência;
5.Verificar a efetividade da comunicação: feedback; validação.<p></p></span></p>,<p></p>,<p class=""MsoNormal"" style=""margin-left:14.2pt;text-align:justify;text-indent:
-14.2pt;line-height:115%;mso-list:l0 level1 lfo1""><!--[if !supportLists]--><span style=""mso-bidi-font-size:12.0pt;line-height:115%;font-family:Symbol;
mso-fareast-font-family:Symbol;mso-bidi-font-family:Symbol"">·<span style='font-variant-numeric: normal; font-stretch: normal; font-size: 7pt; line-height: normal; font-family: ""Times New Roman"";'>     
</span></span><!--[endif]--><span style='mso-bidi-font-size:12.0pt;
line-height:115%;font-family:""Calibri"",""sans-serif""'>Gravações das
apresentações dos participantes e posterior feedback.<p></p></span></p>,<p></p>,<p id=""org-description"" class=""text-center-xs text-left-md"">Pedagogo, Psicólogo, Mestre e Doutor pela USP, Sócio Diretor da Roka Consultoria, atuando em Programas de Diagnósticos, Planejamento Estratégico, Gestão de Pessoas e Seleção de Executivos. Membro da Academia Paulista de Psicologia, ocupando a cadeira 21. Atuação como Coach junto aos executivos e gestores de empresas multinacionais, nacionais e públicas.  Professor da Fundação Instituto de Administração - FIA e Pontifícia Universidade Católica – PUC – São Paulo, atuando em Programas de MBA em Gestão de Negócios. Coodernador, Professor e Orientador do Programa de Pós Graduação em Gestão Pública junto ao INPG - Instituto Nacional de Pós Graduação. Professor Pleno III junto a Faculdade de Tecnologia de São Paulo. Atuação no Centro Paula Souza – SP- nos Programas de Mestrados: Tecnologia e Gerenciamento de Sistemas produtivos e Gestão da Educação Profissional, exercendo inclusive atividades de orientação. Autor de livros na área de Gestão de Pessoas. Viagens ao exterior de cunho científico </p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Roka Consultoria</strong><br> Rua Duarte de Azevedo , 284, cj 38, Santana<br>São Paulo, SP                </p>"," Rua Duarte de Azevedo , 284, cj 38, Santana",Prof. Dr. Roberto Kanaane,"Pedagogo, Psicólogo, Mestre e Doutor pela USP, Sócio Diretor da Roka Consultoria, atuando em Programas de Diagnósticos, Planejamento Estratégico, Gestão de Pessoas e Seleção de Executivos. Membro da Academia Paulista de Psicologia, ocupando a cadeira 21. Atuação como Coach junto aos executivos e gestores de empresas multinacionais, nacionais e públicas.  Professor da Fundação Instituto de Administração - FIA e Pontifícia Universidade Católica – PUC – São Paulo, atuando em Programas de MBA em Gestão de Negócios. Coodernador, Professor e Orientador do Programa de Pós Graduação em Gestão Pública junto ao INPG - Instituto Nacional de Pós Graduação. Professor Pleno III junto a Faculdade de Tecnologia de São Paulo. Atuação no Centro Paula Souza – SP- nos Programas de Mestrados: Tecnologia e Gerenciamento de Sistemas produtivos e Gestão da Educação Profissional, exercendo inclusive atividades de orientação. Autor de livros na área de Gestão de Pessoas. Viagens ao exterior de cunho científico ",Fale Poderosamente e Faça a Diferença!!  ," 
                                    11 de fevereiro de 2017, 09h-17h                                ","R$ 0,00,Ingresso ùnico,R$ 250,00,Inscrições até 08/02/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/fale-poderosamente-e-faca-a-diferenca__111239
"<p id=""org-description"">A Lá do Mato nasceu da vontade de não só oferecer um produto mas também de promover uma mudança saudável, sustentável e amorosa para nós e para o planeta.<br>
<br>
Em nossa busca por uma vida mais sustentável vimos no sabonete uma porta de entrada para uma vida mais natural, primeiro você musda seu sabonete, depois a pasta de dente e quando se dá conta está livre dos padrões, dos produtos convencionais, do lixo, dos químicos... Você passa a sentir seu cheiro de verdade, conhece a textura natural do seu cabelo, da sua pele e se conhece de verdade.<br>
<br>
Além de produtos naturais, realizamos consultorias de beleza natural e promovemos oficinas e encontros para dividir o conhecimento que temos adquirido durante essa nossa caminhada.</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Loja Além</strong><br> Rua Francisco Leitão , 741, Pinheiros<br>São Paulo, SP                </p>"," Rua Francisco Leitão , 741, Pinheiros",Lá do Mato Saboaria Natural,,Oficina Dupla Shampoo e Sabonete Natural  Hot e Cold Process  ," 
                                    28 de janeiro de 2017, 12h-15h                                ","R$ 0,00,Único,R$ 140,00,Inscrições até 28/01/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/oficina-dupla-shampoo-e-sabonete-natural---hot-e-cold-process__111219
"<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Centro Cultural Rio Verde</strong><br> Rua Belmiro Braga, 119, Pinheiros<br>São Paulo, SP                </p>"," Rua Belmiro Braga, 119, Pinheiros",Centro Cultural Rio Verde,,CARNAVAL CIGANO no Centro Cultural Rio Verde  ," 
                                    17 de fevereiro de 2017, 23h  - 18 de fevereiro de 2017, 05h                                ","R$ 0,00,Meia Entrada Solidária,R$ 25,00,Vendas até 17/02/2017,0,Inteira,R$ 50,00,Vendas até 17/02/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/carnaval-cigano-no-centro-cultural-rio-verde__111299
"<p id=""org-description"">Produtor da Orange Produções e das Festas - Druguis Party e Bagaço da Laranja</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Feeling </strong><br> Rua Domingos de Morais , 1739, Vila Mariana<br>São Paulo, SP                </p>"," Rua Domingos de Morais , 1739, Vila Mariana",Marcos Paiola ,,"Geek Out  Always Open Bar, O Especial Harry Potter  "," 
                                    21 de janeiro de 2017, 23h  - 22 de janeiro de 2017, 06h                                ","R$ 0,00,Pré venda,R$ 60,00,Vendas até 21/01/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/geek-out---always-open-bar-o-especial-harry-potter__105905
"<p class=""MsoNormal"" style=""mso-margin-top-alt:auto;margin-bottom:12.0pt;
line-height:normal""><span style='font-size:12.0pt;font-family:""Times New Roman"",""serif"";
mso-fareast-font-family:""Times New Roman"";mso-fareast-language:PT-BR'>Veja
a programação completa de 2017<br>http://bit.ly/agendatraining17<br>
</span></p>,<p class=""MsoNormal"" style=""mso-margin-top-alt:auto;margin-bottom:12.0pt;
line-height:normal""><span style='font-size:12.0pt;font-family:""Times New Roman"",""serif"";
mso-fareast-font-family:""Times New Roman"";mso-fareast-language:PT-BR'><br></span></p>,<p class=""MsoNormal"" style=""mso-margin-top-alt:auto;margin-bottom:12.0pt;
line-height:normal""><span style='font-size:12.0pt;font-family:""Times New Roman"",""serif"";
mso-fareast-font-family:""Times New Roman"";mso-fareast-language:PT-BR'>
Mais informações:<br>
(11) 98172-8736 WhatsApp<br>
faleconosco@operacaocasamento.com.br<br>
Alessandra Mendonça Costa</span></p>,<p id=""org-description"" class=""text-center-xs text-left-md"">Dúvidas: WhatsApp: 11-981728736<br>
atendimento@operacaocasamento.com.br<br>
<br>
Todas as informações serão confirmadas via email, fique atento.</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Operação Casamento Training</strong><br> Alameda Santos , 1800, 8º andar, Cerqueira César<br>São Paulo, SP                </p>"," Alameda Santos , 1800, 8º andar, Cerqueira César",Operação Casamento Training,"Dúvidas: WhatsApp: 11-981728736,
atendimento@operacaocasamento.com.br,
,
Todas as informações serão confirmadas via email, fique atento.",Confraria Operação Casamento  ," 
                                    20 de fevereiro de 2017, 14h  - 04 de dezembro de 2017, 16h                                ","R$ 0,00,Ingresso Unitário ,R$ 290,00,Vendas até 04/12/2017,0,Ingresso Grupo 3 ,R$ 780,00,Vendas até 31/03/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/confraria-operacao-casamento__97297
